1;H;Hydrogen;g
2;He;Helium;g
3;Li;Lithium;s
4;Be;Beryllium;s
5;B;Boron;s
6;C;Carbon;s
7;N;Nitrogen;g
8;O;Oxygen;g
9;F;Fluorine;g
10;Ne;Neon;g
11;Na;Sodium;s
12;Mg;Magnesium;s
13;Al;Aluminium;s
14;Si;Silicon;s
15;P;Phosphorus;s
16;S;Sulfur;s
17;Cl;Chlorine;g
18;Ar;Argon;g
19;K;Potassium;s
20;Ca;Calcium;s
21;Sc;Scandium;s
22;Ti;Titanium;s
23;V;Vanadium;s
24;Cr;Chromium;s
25;Mn;Manganese;s
26;Fe;Iron;s
27;Co;Cobalt;s
28;Ni;Nickel;s
29;Cu;Copper;s
30;Zn;Zinc;s
31;Ga;Gallium;s
32;Ge;Germanium;s
33;As;Arsenic;s
34;Se;Selenium;s
35;Br;Bromine;l
36;Kr;Krypton;g
37;Rb;Rubidium;s
38;Sr;Strontium;s
39;Y;Yttrium;s
40;Zr;Zirconium;s
41;Nb;Niobium;s
42;Mo;Molybdenum;s
43;Tc;Technetium;s
44;Ru;Ruthenium;s
45;Rh;Rhodium;s
46;Pd;Palladium;s
47;Ag;Silver;s
48;Cd;Cadmium;s
49;In;Indium;s
50;Sn;Tin;s
51;Sb;Antimony;s
52;Te;Tellurium;s
53;I;Iodine;s
54;Xe;Xenon;g
55;Cs;Cesium;s
56;Ba;Barium;s
57;La;Lanthanum;s
58;Ce;Cerium;s
59;Pr;Praseodymium;s
60;Nd;Neodymium;s
61;Pm;Promethium;s
62;Sm;Samarium;s
63;Eu;Europium;s
64;Gd;Gadolinium;s
65;Tb;Terbium;s
66;Dy;Dysprosium;s
67;Ho;Holmium;s
68;Er;Erbium;s
69;Tm;Thulium;s
70;Yb;Ytterbium;s
71;Lu;Lutetium;s
72;Hf;Hafnium;s
73;Ta;Tantalum;s
74;W;Tungsten;s
75;Re;Rhenium;s
76;Os;Osmium;s
77;Ir;Iridium;s
78;Pt;Platinum;s
79;Au;Gold;s
80;Hg;Mercury;l
81;Tl;Thallium;s
82;Pb;Lead;s
83;Bi;Bismuth;s
84;Po;Polonium;s
85;At;Astatine;s
86;Rn;Radon;g
87;Fr;Francium;s
88;Ra;Radium;s
89;Ac;Actinium;s
90;Th;Thorium;s
91;Pa;Protactinium;s
92;U;Uranium;s
93;Np;Neptunium;s
94;Pu;Plutonium;s
95;Am;Americium;s
96;Cm;Curium;s
97;Bk;Berkelium;s
98;Cf;Californium;s
99;Es;Einsteinium;s
100;Fm;Fermium;u
101;Md;Mendelevium;u
102;No;Nobelium;u
103;Lr;Lawrencium;u
104;Rf;Rutherfordium;u
105;Db;Dubnium;u
106;Sg;Seaborgium;u
107;Bh;Bohrium;u
108;Hs;Hassium;u
109;Mt;Meitnerium;u
110;Ds;Darmstadtium;u
111;Rg;Roentgenium;u
112;Cn;Copernicium;u
113;Nh;Nihoniun;u
114;Fl;Flerovium;u
115;Mc;Moscovium;u
116;Lv;Livermorium;u
117;Ts;Tennessine;u
118;Og;Oganesson;u
